blender_r,0.2118,0.2363,0.2397,0.2495
bwaves_r,0.9743,0.9743,0.9743,0.9743
deepsjeng_r,0.3306,0.3704,0.3932,0.4122
exchange2_r,0.1288,0.2524,0.2986,0.3311
gcc_r,0.4465,0.4540,0.4583,0.4646
leela_r,0.3439,0.4108,0.4314,0.4572
mcf_r,0.2985,0.3268,0.3208,0.3285
omnetpp_r,0.4648,0.4902,0.5037,0.5104
perlbench_r,0.3972,0.4158,0.4225,0.4278
x264_r,0.2652,0.3928,0.4435,0.4384
xalancbmk_r,0.3337,0.3484,0.3510,0.3527
xz_r,0.3006,0.3408,0.3638,0.3725
lbm_r,0.0536,0.5218,0.4312,0.3402
namd_r,0.0989,0.5464,0.6315,0.5823
cam4_r,0.2709,0.2744,0.2803,0.3380
