blender_r   ,0.7831,0.8282,0.8419,0.8522
bwaves_r    ,0.5641,0.5641,0.5641,0.5641
deepsjeng_r ,0.5769,0.6175,0.6295,0.6456
exchange2_r ,0.5431,0.6775,0.7266,0.7669
gcc_r       ,0.5695,0.5808,0.5859,0.5923
leela_r     ,0.5411,0.6133,0.6357,0.6601
mcf_r       ,0.5558,0.6072,0.6018,0.6100
omnetpp_r   ,0.6067,0.6308,0.6395,0.6454
perlbench_r ,0.5780,0.5995,0.6084,0.6141
x264_r      ,0.3578,0.5639,0.6245,0.6294
xalancbmk_r ,0.7803,0.8020,0.8042,0.8063
xz_r        ,0.7098,0.7998,0.8312,0.8462
lbm_r       ,0.0536,0.5481,0.4575,0.3438
namd_r      ,0.1160,0.6266,0.7236,0.6700
cam4_r      ,0.4476,0.4555,0.4622,0.5075
